Quote	Verb	Type	Author	Title	Page	Original Publication Date	Original Publisher	Reprint Collection or URL	Reprint Publisher	Reprint Publication Date	Pseudonymn	Translator	Social Profile Information														

When the hurlyburly&rsquo;s done, When the battle&rsquo;s lost and won.	wash	literature	Shakespeare	Macbeth	Line 5	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

&ldquo;Fair is foul, and foul is fair: Hover through the fog and filthy air.&rdquo;	wash	literature	Shakespeare	Macbeth	Line 13	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

&ldquo;What, can the devil speak true?&rdquo;	wash	literature	Shakespeare	Macbeth	Line 212	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

<span class='poetry'>&ldquo;Come what come may,<br>Time and the hour runs through the roughest day.&rdquo;</span>	wash	literature	Shakespeare	Macbeth	Line 262	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

<span class='poetry'>&ldquo;Art not without ambition, but without<br>The illness should attend it: what thou wouldst highly,<br>That wouldst thou holily; wouldst not play false&rdquo;</span>	wash	literature	Shakespeare	Macbeth	Line 363	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

<span class='poetry'>&ldquo;Thy letters have transported me beyond<br>This ignorant present, and I feel now<br>The future in the instant.&rdquo;</span>	wash	literature	Shakespeare	Macbeth	Line 410	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

<span class='poetry'>&ldquo;Where they most breed and haunt, I have observed,<br>The air is delicate.&rdquo;</span>	wash	literature	Shakespeare	Macbeth	Line 433	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

<span class='poetry'>&ldquo;I had most need of blessing, and &lsquo;Amen&rsquo;<br>Stuck in my throat.&rdquo;</span>	wash	literature	Shakespeare	Macbeth	Line 690	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

<span class='poetry'>&ldquo;Go get some water,<br>And wash this filthy witness from your hand.&rdquo;</span>	wash	literature	Shakespeare	Macbeth	Line 706	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

&ldquo;Twas a rough night.&rdquo;	wash	literature	Shakespeare	Macbeth	Line 832	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

<span class='poetry'>&ldquo;Threescore and ten I can remember well:<br>Within the volume of which time I have seen<br>Hours dreadful and things strange; but this sore night<br>Hath trifled former knowings.&rdquo;</span>	wash	literature	Shakespeare	Macbeth	Line 950	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

&ldquo;How now, my lord! why do you keep alone,&rdquo;	wash	literature	Shakespeare	Macbeth	Line 1178	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

&ldquo;This is the very painting of your fear:&rdquo;	wash	literature	Shakespeare	Macbeth	Line 1348	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

<span class='poetry'>&ldquo;Double, double toil and trouble;<br>Fire burn, and cauldron bubble.&rdquo;</span>	wash	literature	Shakespeare	Macbeth	Line 1558	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

<span class='poetry'>&ldquo;Whither should I fly?<br>I have done no harm. But I remember now<br>I am in this earthly world;&rdquo;</span>	wash	literature	Shakespeare	Macbeth	Line 1820	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

&ldquo;I have lost my hopes.&rdquo;	wash	literature	Shakespeare	Macbeth	Line 1872	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

<span class='poetry'>&ldquo;I think our country sinks beneath the yoke;<br>It weeps, it bleeds; and each new day a gash<br>
	Is added to her wounds: I think withal<br>There would be hands uplifted in my right;&rdquo;</span>	wash	literature	Shakespeare	Macbeth	Line 1890	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

