Quote	Verb	Type	Author	Title	Page	Original Publication Date	Original Publisher	Reprint Collection or URL	Reprint Publisher	Reprint Publication Date	Pseudonymn	Translator	Social Profile Information														

When the hurlyburly's done, When the battle's lost and won.	wash	literature	Shakespeare	Macbeth	Line 5	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

Fair is foul, and foul is fair: Hover through the fog and filthy air.	wash	literature	Shakespeare	Macbeth	Line 13	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

The multiplying villanies of nature<br />Do swarm upon him&mdash;from the western isles	wash	literature	Shakespeare	Macbeth	Line 30	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

If you can look into the seeds of time,<br />And say which grain will grow and which will not,<br />Speak then to me, who neither beg nor fear<br />Your favours nor your hate.	wash	literature	Shakespeare	Macbeth	Line 160	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

What, can the devil speak true?	wash	literature	Shakespeare	Macbeth	Line 212	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

Come what come may,<br />
Time and the hour runs through the roughest day.	wash	literature	Shakespeare	Macbeth	Line 262	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

The interim having weigh&apos;d it, let us speak<br />Our free hearts each to other.	wash	literature	Shakespeare	Macbeth	Line 270	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

That hast no less deserved, nor must be known<br />No less to have done so, let me enfold thee<br />And hold thee to my heart.	wash	literature	Shakespeare	Macbeth	Line 310	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

What thou art promised: yet do I fear thy nature;<br />It is too full o' the milk of human kindness<br />To catch the nearest way: thou wouldst be great;	wash	literature	Shakespeare	Macbeth	Line 360	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

Art not without ambition, but without<br />The illness should attend it: what thou wouldst highly,<br />That wouldst thou holily; wouldst not play false<br />	wash	literature	Shakespeare	Macbeth	Line 363	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

Thy letters have transported me beyond<br />This ignorant present, and I feel now<br />The future in the instant.<br />	wash	literature	Shakespeare	Macbeth	Line 410	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

Look like the time; bear welcome in your eye,<br />Your hand, your tongue: look like the innocent flower,<br />But be the serpent under&apos;t.<br />	wash	literature	Shakespeare	Macbeth	Line 420	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

Where they most breed and haunt, I have observed,<br />The air is delicate.	wash	literature	Shakespeare	Macbeth	Line 433	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

Away, and mock the time with fairest show:<br />False face must hide what the false heart doth know.	wash	literature	Shakespeare	Macbeth	Line 565	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

I had most need of blessing, and &lsquo;Amen&rsquo;<br />Stuck in my throat.	wash	literature	Shakespeare	Macbeth	Line 690	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

These deeds must not be thought<br />After these ways; so, it will make us mad.	wash	literature	Shakespeare	Macbeth	Line 693	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

Go get some water,<br />And wash this filthy witness from your hand.	wash	literature	Shakespeare	Macbeth	Line 706	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

Twas a rough night.	wash	literature	Shakespeare	Macbeth	Line 832	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

O horror, horror, horror! Tongue nor heart<br />Cannot conceive nor name thee!	wash	literature	Shakespeare	Macbeth	Line 835	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

Threescore and ten I can remember well:<br />Within the volume of which time I have seen<br />Hours dreadful and things strange; but this sore night<br />
Hath trifled former knowings.	wash	literature	Shakespeare	Macbeth	Line 950	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

How now, my lord! why do you keep alone	wash	literature	Shakespeare	Macbeth	Line 1178	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

This is the very painting of your fear	wash	literature	Shakespeare	Macbeth	Line 1348	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

Double, double toil and trouble;<br />Fire burn, and cauldron bubble.	wash	literature	Shakespeare	Macbeth	Line 1558	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

Whither should I fly?<br />I have done no harm. But I remember now<br />I am in this earthly world	wash	literature	Shakespeare	Macbeth	Line 1820	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

I have lost my hopes.	wash	literature	Shakespeare	Macbeth	Line 1872	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

I think our country sinks beneath the yoke;<br />It weeps, it bleeds; and each new day a gash<br />Is added to her wounds: I think withal<br />There would be hands uplifted in my right	wash	literature	Shakespeare	Macbeth	Line 1890	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

What is it she does now? Look, how she rubs her hands.	wash	literature	Shakespeare	Macbeth	Line 2153	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

It is an accustomed action with her, to seem thus<br />washing her hands: I have known her continue in<br />this a quarter of an hour.	wash	literature	Shakespeare	Macbeth	Line 2155	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

Out, damned spot! out, I say!&mdash;One:two: why,<br />then, &rsaquo;tis time to do&apos;t.	wash	literature	Shakespeare	Macbeth	Line 2160	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

What, will these hands ne&apos;er be clean?	wash	literature	Shakespeare	Macbeth	Line 2167	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

Wash your hands, put on your nightgown; look not so pale.	wash	literature	Shakespeare	Macbeth	Line 2185	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

What news more?	wash	literature	Shakespeare	Macbeth	Line 2280	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

What is that noise?<br />It is the cry of women, my good lord.	wash	literature	Shakespeare	Macbeth	Line 2360	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

To-morrow, and to-morrow, and to-morrow,<br />Creeps in this petty pace from day to day	wash	literature	Shakespeare	Macbeth	Line 2376	1603-06	Folio of 1623	https://www.opensourceshakespeare.org/	George Mason University	2003-20																	

The truth is that everyone is bored, and devotes himself to cultivating habits.	wash	literature	Albert Camus	The Plague	1	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

It will be said, no doubt, that these habits are not peculiar to our town; really all our contemporaries are much the same.	wash	literature	Albert Camus	The Plague	2	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

Being ill&apos;s never agreeable but there are towns that stand by you, so to speak, when you are sick....	wash	literature	Albert Camus	The Plague	2	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

Naturally, a historian, even an amateur, always has data, personal or at second hand, to guide him.	wash	literature	Albert Camus	The Plague	3	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

He found his first patient, an asthma case of long standing, in bed, in a room that served as both dining-room and bedroom and overlooked the street.	wash	literature	Albert Camus	The Plague	4	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

I&apos;ve no use for statements in which something is kept back	wash	literature	Albert Camus	The Plague	6	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

When shaking hands with him, Rieux suggested that if he was out for curious stories for his paper, he might say something about the extraordinary number of dead rats that were being found in the town just now.	wash	literature	Albert Camus	The Plague	6	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

We&apos;ve not seen anything of the sort before....	wash	literature	Albert Camus	The Plague	6	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

...he was looking tired and his normally rubicund face had lost its color.	wash	literature	Albert Camus	The Plague	6	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

Actually the municipality had not contemplated doing anything at all, but now a meeting was convened to discuss the situation.	wash	literature	Albert Camus	The Plague	7	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

You must picture the consternation of our little town, hitherto so tranquil, and now, out of the blue, shaken to its core....	wash	literature	Albert Camus	The Plague	8	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

...this amazing figure administered a jolt to the public nerves.	wash	literature	Albert Camus	The Plague	8	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

They&apos;re coming out, they&apos;re coming out...	wash	literature	Albert Camus	The Plague	8	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

On April 28, when the Ransdoc Bureau announced that 8,ooo rats had been collected, a wave of something like panic swept the town.	wash	literature	Albert Camus	The Plague	8	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

Everyone breathed more freely.	wash	literature	Albert Camus	The Plague	8	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

&ldquo;It&apos;s just swellings,&lrquo; he said. &ldquo;I must have strained myself somehow.&lrquo;	wash	literature	Albert Camus	The Plague	9	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

Go to bed at once, and take your temperature. I'll come to see you this afternoon.	wash	literature	Albert Camus	The Plague	9	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

Oh, I suppose it's an epidemic they've been having.	wash	literature	Albert Camus	The Plague	9	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

He blew his nose vigorously.	wash	literature	Albert Camus	The Plague	9	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

&ldquo;Oh!&rdquo; The man slumped back on the bed and started sobbing weakly.	wash	literature	Albert Camus	The Plague	10	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

&ldquo;Please, doctor,&lrquo; she said, &ldquo;what is it?&rdquo;	wash	literature	Albert Camus	The Plague	10	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

&ldquo;Well,&rdquo; Richard said, &ldquo;that depends on what you mean by &lsquo;normal.&rsquo;&rdquo;	wash	literature	Albert Camus	The Plague	10	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

Michel&apos;s death marked, one might say, the end of the first period, that of bewildering portents, and the beginning of another, relatively more trying, in which the perplexity of the early days gradually gave place to panic.	wash	literature	Albert Camus	The Plague	11	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert																																		

@AgBioWorld How to wash your hands the right way! Be sure sure to cover the entire palm...Please protect yourself against the deadly #coronavirus...#handwashing	wash	socialmedia	"Channa Prakash, @AgBioWorld"			"20 March 2020, 10:52am"	Twitter																				

Handwashing is a simple and effective way to help prevent the spread of infectious diseases. Yet many countries have inadequate #handwashing facilities at home. http://wrld.bg/P1Qq50yQscX #COVID19	wash	socialmedia	"World Bank, @WorldBank"			"20 March 2020, 08:00am"	Twitter																				

Congress must provide states with the funds they need to protect the right to vote amid #COVID19, including an expansion of #VoteByMail.	wash	socialmedia	"Stacey Abrams, @staceyabrams"			"20 March 2020, 4:39pm"	Twitter						"Founder of  @fairfightaction & @faircount & @The_SEAP Author of #LeadFromTheOutside. Co-founder & former SVP @NowAccount Writes as Selena Montgomery"														

LONDON: Please act immediately on what we&apos;re saying today. Do not leave your home unless you have a very good reason. Do not go to work or use public transport, unless you do a critical job.
If you ignore this advice, people could die. #COVID19	wash	socialmedia	"Sadiq Khan, @SadiqKhan"			"20 March 2020, 5:00pm"	Twitter						Mayor of London														

The US and South Korea had their first COVID-19 cases on the same day. Two days ago South Korea did 274,000 tests and the US did 25000. WHERE. ARE. THE. DAMN. TESTS. #COVID19 (repost)	wash	socialmedia	"Eric Feigl-Ding, @DrEricDing"			"20 March 2020, 4:36pm"	Twitter						"Epidemiologist / Health Economist / Senior Fellow @FAScientists / PH scientist @Harvard / Harvard Ô07 J.Hopkins Ô04 / NYT-featPillwhistleblower / #COVID19 Updates"														

Why is COVID-19 a bigger deal than the seasonal flu? Unlike the seasonal flu, the RNA sequences that make up a coronavirus are not recognized by the human immune system. This coronavirus (COVID-19) is also continually mutating, which makes developing a vaccine difficult. #COVID19	wash	socialmedia	"Dr. Richa Love, @drRichaLove"			"20 March 2020,  5:15pm"	Twitter																				

Today @realdonaldtrump said he thinks we&apos;ll never need a national lockdown to combat the spread of #COVID19. As an ER doc on the front lines against this virus, I think he&apos;s totally wrong &amp; that we should impose a national &ldquo;shelter in place&rdquo; right now. This is important.	wash	socialmedia	"Dr. Rob Davidson, @drRobDavidson"			"20 March 2020, 5:56pm"	Twitter																				

I am not hiding. I am taking shelter.<br />I am not on lockdown. I am guarding my health.<br />I am not self isolating. I am staying home because I care about the vulnerable members of my community.<br />I am not scared. I am vigilant.	wash	socialmedia	"Mona Eltahawy, @monaeltahawy"			"20 March 2020, 5:41pm"	Twitter						"Feminist. Tattoos. #MUFC. The Seven Necessary Sins for Women & Girls (2019) https://amzn.to/2IK10q7, Headscarves & Hymens (2015) pic: S.Enriquez-Nistal. she/her"														

Instead of warning the public or pushing for faster preparation, Perdue & Loeffler downplayed the #COVID19 threat in public while adjusting their stock portfolios.	wash	socialmedia	"Jon Ossoff, @ossoff"			"20 March 2020, 5:49pm"	Twitter						Proud Georgian. Candidate for United States Senate.														

Today&apos;s #GoogleDoodle celebrates Ignaz Semmelweis, a Hungarian physician who championed the importance of hand washing to prevent the spread of infections #WashYourHands #HandWashing Soap	wash	socialmedia	"Compound Interest@compoundchem"			"20 March 2020, 4:47pm"	Twitter						"Graphics exploring everyday #chemistry ¥ Winner  @absw 2018 #science blog award __ ¥ Food chemistry book: http://bit.ly/whydoesasparagus __ ¥ #scicomm #IYPT2019"														

Doorhandles, ATM machines, lift buttons, supermarket trolleys&mdash;the principles are the same. #handwashing is one of our best defences	wash	socialmedia	"DrSarahJarvis @DrSarahJarvis"			"20 March 2020, 5:40pm"	Twitter						"GP, clinical director  @patient Also on BBC 1's The One Show, GMB, BBC Radio 4, Channel 5 news & is resident doctor BBC R2's @theJeremyVine & @My_Weekly."														

&ldquo;Yes, it&apos;s possible you may have had it and didn&apos;t know it,&rdquo; says Dr. Lee Riley, MD...	wash	journalism	Markham Heid	Did You Have Coronavirus Without Knowing It?		20 March 2020	Medium	 https://elemental.medium.com/did-you-have-coronavirus-without-knowing-it-d33bbce9e9e5																			
